date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:18:31	169732/169732	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202020%2016:43:18%20GMT	https://techbtt.site/css/fontawesome/webfonts/fa-regular-400.html	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-regular-400.html	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:32	224856/224856	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2236e58-5fb7f226-7b0d100a38e49698;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-regular-400.woff	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-regular-400.woff	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:32	443120/443120	---M--	200	added ('OK')	application/x-font-ttf	etag:%226c2f0-5fb7f226-dc76d1fdacbfeea8;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-regular-400.ttf	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-regular-400.ttf	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:33	2091279/2091279	---MCZ	200	added ('OK')	image/svg+xml	etag:%221fe90f-5fb7f226-9133082f4276d27c;gz%22	https://techbtt.site/css/fontawesome/webfonts/fa-regular-400.svg	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-regular-400.svg	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:33	378550/378550	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c6b6-5fb7f226-e6a4aed4f6b4b209;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-solid-900.eot	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-solid-900.eot	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:33	378550/378550	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c6b6-5fb7f226-925f0f6e74f27f26;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-solid-900d41d.eot?	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-solid-900d41dd41d.eot	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:34	137704/137704	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202020%2016:43:18%20GMT	https://techbtt.site/css/fontawesome/webfonts/fa-solid-900.html	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-solid-900.html	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:34	183796/183796	---MCZ	200	added ('OK')	application/font-woff	etag:W/%222cdf4-5fb7f226-cb0da74000b8cdf0;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-solid-900.woff	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-solid-900.woff	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:35	378268/378268	---M--	200	added ('OK')	application/x-font-ttf	etag:%225c59c-5fb7f226-2ae5664cfacad624;;;%22	https://techbtt.site/css/fontawesome/webfonts/fa-solid-900.ttf	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-solid-900.ttf	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:35	2536/2536	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Jul%202019%2006:18:14%20GMT	https://techbtt.site/img/newImg.png	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/newImg.png	(from https://techbtt.site/css/style.css?v=3.24)
22:18:35	1710847/1710847	---MCZ	200	added ('OK')	image/svg+xml	etag:%221a1aff-5fb7f226-f3b63a60c1cbf27e;gz%22	https://techbtt.site/css/fontawesome/webfonts/fa-solid-900.svg	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/css/fontawesome/webfonts/fa-solid-900.svg	(from https://techbtt.site/css/fontawesome/css/all.css)
22:18:35	106/106	---M--	200	added ('OK')	image/png	etag:%226a-5fb7f226-fa6f0619f8b417d8;;;%22	https://techbtt.site/img/dash.png	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/dash.png	(from https://techbtt.site/css/style.css?v=3.24)
22:18:36	71062/71062	---M--	200	added ('OK')	image/png	etag:%2211596-5fb7f227-6a872eee3bc07c1b;;;%22	https://techbtt.site/img/macback7b30.png?v=4	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/macback7b307b30.png	(from https://techbtt.site/css/style.css?v=3.24)
22:18:36	103/103	---M--	200	added ('OK')	image/png	etag:%2267-5fb7f226-f7c57f828961563f;;;%22	https://techbtt.site/img/dash2.png	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/dash2.png	(from https://techbtt.site/css/style.css?v=3.24)
22:18:36	12464/12464	---M--	200	added ('OK')	image/jpeg	etag:%2230b0-5fb7f227-b86eb7198c415fd9;;;%22	https://techbtt.site/img/teamback.jpg	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/teamback.jpg	(from https://techbtt.site/css/style.css?v=3.24)
22:18:36	1218/1218	---M--	200	added ('OK')	image/png	etag:%224c2-5fb7f227-34ba75a1074f3dbe;;;%22	https://techbtt.site/img/ui.totop.png	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/ui.totop.png	(from https://techbtt.site/css/style.css?v=3.24)
22:18:36	23934/23934	---M--	200	added ('OK')	image/jpeg	etag:%225d7e-5fb7f227-2f862a8d02fc4f44;;;%22	https://techbtt.site/img/limitback.jpg	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/limitback.jpg	(from https://techbtt.site/css/style.css?v=3.24)
22:18:37	71062/71062	---M--	200	added ('OK')	image/png	etag:%2211596-5fb7f227-47c8d7dd0961305d;;;%22	https://techbtt.site/img/macback.png	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/macback.png	(from https://techbtt.site/css/adaptive.css?v=3.24)
